Issue Type,Summary,Description,Epic Name,Labels
Epic,Display Engine Core,"Build and stabilize the core display engine including rendering, layering, and interaction. Includes map initialization, layer rendering, layer ordering, opacity controls, and popup system.",Display Engine Core,"team-display-engine,server10,display-engine"
Epic,Profile System,"Develop reusable display profiles for consistent configuration. Includes profile JSON structure, profile loading, profile validation, and profile reuse.",Profile System,"team-display-engine,server10,display-engine"
Epic,Dashboard Config Preview Dispatch,"Create the dashboard as the display manager workspace. Includes configuration UI, live preview, profile selection, dispatch capability, and triage for unsupported features.",Dashboard Config Preview Dispatch,"team-display-engine,server10,dashboard"
Epic,Basemap Adapter Layer,"Support multiple basemap providers. Includes OSM, imagery providers, and future adapters such as Sentinel-derived imagery.",Basemap Adapter Layer,"team-display-engine,server10,basemap"
Epic,External Imagery Integration,"Support external imagery sources. Includes tile providers, attribution handling, and adapter design.",External Imagery Integration,"team-imagery,server10,imagery"
Epic,Internal Imagery Processing Pipeline,"Build in-house imagery processing capability. Includes ingestion, preprocessing, reprojection, clipping, and enhancement.",Internal Imagery Processing Pipeline,"team-imagery,server10,imagery"
Epic,Tile Generation System,"Convert imagery into tile services. Includes tile pyramid generation, storage, and access structure.",Tile Generation System,"team-imagery,server10,imagery"
Epic,Imagery Serving,"Serve imagery to display engine and programs. Includes tile endpoints, integration with display engine, and performance considerations.",Imagery Serving,"team-imagery,server10,imagery"
Epic,Buildings Program,"Develop building extraction and dataset. Includes digitization, validation, and improvement workflows.",Buildings Program,"team-foundational-gis,server10,buildings"
Epic,Land Cover Program,"Develop land cover classification. Includes classification logic, dataset generation, and refinement.",Land Cover Program,"team-foundational-gis,server10,landcover"
Epic,Water Program,"Develop water body detection. Includes extraction, validation, and dataset improvements.",Water Program,"team-foundational-gis,server10,water"
Epic,Data Quality and Validation,"Ensure accuracy and reliability of foundational data. Includes QA workflows, validation rules, and review cycles.",Data Quality and Validation,"team-foundational-gis,server10,qa"
Epic,Addresses Program,"Develop address system based on buildings. Includes address points, building linkage, popup display, and refinement.",Addresses Program,"team-composite-gis,server10,addresses"
Epic,Address Building Relationship,"Strengthen relationship between addresses and buildings. Includes spatial linking, validation, and support for multiple addresses per building.",Address Building Relationship,"team-composite-gis,server10,addresses"
Epic,Future GIS Programs,"Prepare framework for new composite programs. Includes program templates, integration patterns, and reuse of foundational layers.",Future GIS Programs,"team-composite-gis,server10,composite-gis"
Epic,AfricaMapping Web Platform,"Build user-facing web platform. Includes homepage, navigation, and content surfaces.",AfricaMapping Web Platform,"team-frontend,server10,frontend"
Epic,Map Experience Integration,"Integrate display engine into frontend. Includes embedding viewer, UI controls, and interaction design.",Map Experience Integration,"team-frontend,server10,frontend"
Epic,Address Search Experience,"Build address search UI. Includes search bar, results display, and interaction with the map.",Address Search Experience,"team-frontend,server10,frontend"
Epic,Deployment Pipeline,"Build CI/CD pipeline. Includes GitHub Actions, deployment scripts, and automation.",Deployment Pipeline,"team-infrastructure,server10,cicd"
Epic,Web Serving Nginx,"Serve platform via nginx. Includes static serving, routing, and domain setup.",Web Serving Nginx,"team-infrastructure,server10,nginx"
Epic,System Services Systemd,"Manage services. Includes service definitions, restart policies, and logging.",System Services Systemd,"team-infrastructure,server10,systemd"
Epic,Monitoring and Health,"Monitor system health. Includes logs, alerts, and performance checks.",Monitoring and Health,"team-infrastructure,server10,monitoring"
Epic,Lifecycle Management,"Implement governance lifecycle. Includes intake, review, approval, and execution tracking.",Lifecycle Management,"team-governance,server10,asc"
Epic,Policy Framework,"Define system policies. Includes rules, constraints, and enforcement model.",Policy Framework,"team-governance,server10,policy"
Epic,SAM Integration,"Integrate service availability matrix. Includes tracking maturity and readiness metrics.",SAM Integration,"team-governance,server10,sam"
Epic,Narrator and Reporting,"Track system history and reporting. Includes activity logs, summaries, and insights.",Narrator and Reporting,"team-governance,server10,narrator"
